ENS_ID,gene,value
ENSG00000000460,C1orf112,8.671918095343875
ENSG00000001084,GCLC,10.14970999910821
ENSG00000001497,LAS1L,11.91966275767134
ENSG00000001617,SEMA3F,12.273205128177771
ENSG00000002016,RAD52,10.007891870148956
ENSG00000002549,LAP3,11.185164372062998
ENSG00000002726,AOC1,5.725367663966409
ENSG00000002745,WNT16,2.4945247953216896
ENSG00000002746,HECW1,6.3645000068188855
ENSG00000002933,TMEM176A,9.521705889909247
ENSG00000003137,CYP26B1,10.14756466018905
ENSG00000003147,ICA1,7.843631011463712
ENSG00000003400,CASP10,8.914757435920732
ENSG00000003402,CFLAR,13.293934093695334
ENSG00000003436,TFPI,8.927316184080887
ENSG00000003756,RBM5,13.733396721529823
ENSG00000003987,MTMR7,6.898041644273682
ENSG00000004059,ARF5,12.211035895714458
ENSG00000004487,KDM1A,13.06203901453097
ENSG00000004777,ARHGAP33,10.57855848419336
ENSG00000004799,PDK4,9.35973978352056
ENSG00000004809,SLC22A16,3.6699322773291363
ENSG00000004939,SLC4A1,4.690887800977339
ENSG00000004948,CALCR,3.7423448521704605
ENSG00000004975,DVL2,12.182447766317589
ENSG00000005001,PRSS22,3.6729425247335663
ENSG00000005022,SLC25A5,12.2493523009288
ENSG00000005073,HOXA11,10.408128059524286
ENSG00000005102,MEOX1,11.173740438567528
ENSG00000005108,THSD7A,10.639560764229072
ENSG00000005156,LIG3,12.340713468467163
ENSG00000005187,ACSM3,8.593654582017969
ENSG00000005189,REXO5,7.957803057626699
ENSG00000005302,MSL3,10.68912300591205
ENSG00000005339,CREBBP,13.982951899300435
ENSG00000005448,WDR54,9.929479278126111
ENSG00000005471,ABCB4,8.669154245537525
ENSG00000005513,SOX8,8.417477800927044
ENSG00000005812,FBXL3,10.981908965846166
ENSG00000005882,PDK2,11.547258780190313
ENSG00000005893,LAMP2,11.051227425684816
ENSG00000005981,ASB4,3.029933932653587
ENSG00000006015,REX1BD,11.044224490511825
ENSG00000006016,CRLF1,6.792132334824931
ENSG00000006042,TMEM98,12.707369315990896
ENSG00000006062,MAP3K14,10.6664044368482
ENSG00000006071,ABCC8,7.543827412739294
ENSG00000006118,TMEM132A,13.255719867503801
ENSG00000006210,CX3CL1,10.024097052148715
ENSG00000006283,CACNA1G,10.83697249663004
ENSG00000006327,TNFRSF12A,9.769457775099758
ENSG00000006451,RALA,10.507660798817739
ENSG00000006468,ETV1,9.802466112772853
ENSG00000006534,ALDH3B1,8.669372202208548
ENSG00000006555,TTC22,6.370593962256235
ENSG00000006611,USH1C,7.632335873022476
ENSG00000006634,DBF4,8.39197467600467
ENSG00000006638,TBXA2R,6.929216842191305
ENSG00000006704,GTF2IRD1,12.246387183583208
ENSG00000006740,ARHGAP44,10.01759494295095
ENSG00000006747,SCIN,8.304199074911494
ENSG00000006756,ARSD,12.089635942076377
ENSG00000006788,MYH13,3.732817084192083
ENSG00000007001,UPP2,3.7071859376201366
ENSG00000007216,SLC13A2,2.644379409050905
ENSG00000007237,GAS7,12.038342086783533
ENSG00000007255,TRAPPC6A,10.157634018455276
ENSG00000007312,CD79B,6.021266044649747
ENSG00000007350,TKTL1,3.342698859645152
ENSG00000007402,CACNA2D2,10.724797148974952
ENSG00000007516,BAIAP3,8.383588856142175
ENSG00000007541,PIGQ,11.72424671225327
ENSG00000007866,TEAD3,11.580278701693532
ENSG00000007908,SELE,4.823379529838281
ENSG00000007923,DNAJC11,12.037771516585144
ENSG00000007933,FMO3,3.8605929322279633
ENSG00000007968,E2F2,9.297866589586732
ENSG00000008056,SYN1,6.037164632571674
ENSG00000008083,JARID2,13.353486742988155
ENSG00000008196,TFAP2B,3.023616762633723
ENSG00000008256,CYTH3,11.707177326581649
ENSG00000008283,CYB561,10.518741951993217
ENSG00000008294,SPAG9,13.778204151055984
ENSG00000008300,CELSR3,8.06356920177732
ENSG00000008394,MGST1,5.967112146041623
ENSG00000008513,ST3GAL1,12.48006229269374
ENSG00000008516,MMP25,4.920236674978646
ENSG00000008517,IL32,10.935771533080235
ENSG00000008838,MED24,12.100825227679106
ENSG00000008988,RPS20,14.861337733866138
ENSG00000009413,REV3L,12.140147175423165
ENSG00000009709,PAX7,3.1618459111104795
ENSG00000009724,MASP2,1.4313218570589472
ENSG00000009765,IYD,4.211888331117703
ENSG00000009780,FAM76A,9.35030242696496
ENSG00000009830,POMT2,11.374669931208283
ENSG00000009950,MLXIPL,8.945090731222534
ENSG00000009954,BAZ1B,14.267503210115438
ENSG00000010219,DYRK4,8.89985805030592
ENSG00000010282,HHATL,4.499203681405123
ENSG00000010292,NCAPD2,13.134986787426705
ENSG00000010295,IFFO1,11.232778689542002
ENSG00000010310,GIPR,4.901683899457416
ENSG00000010318,PHF7,7.368823943463594
ENSG00000010319,SEMA3G,9.937657737089904
ENSG00000010361,FUZ,10.000464324495468
ENSG00000010379,SLC6A13,8.790989434244892
ENSG00000010404,IDS,11.217057744960224
ENSG00000010671,BTK,7.477520334709906
ENSG00000010704,HFE,8.860151888952394
